Focus Area,Measure,Description,Source,Year(s)
,Homeownership,Percentage of owner-occupied housing units.,"American Community Survey, five-year estimates",2019-2023
,Severe Housing Cost Burden,Percentage of households that spend 50% or more of their household income on housing.,"American Community Survey, five-year estimates",2019-2023
"Air, water and land",Access to Parks,Percentage of the population living within a half mile of a park.,ArcGIS Online; US Census TIGER/Line Shapefiles,2024 & 2020
Climate,Adverse Climate Events*,"Indicator of thresholds met for the following adverse climate and weather-related event categories: extreme heat (300 or more days above 90F), moderate or greater drought (65 or more weeks), and disaster (2 or more presidential disaster declarations) over the five-year period.",Environmental Public Health Tracking (EPHT) Network; U.S. Drought Monitor (USDM); OPEN FEMA Disaster Declaration Summaries,2019-2023
Civic and community resources,Census Participation,"Percentage of all households that self-responded to the 2020 census (by internet, paper questionnaire or telephone).",Census Operational Quality Metrics,2020
,Voter Turnout+,Percentage of citizen population aged 18 or older who voted in the 2020 U.S. Presidential election.,"MIT Election Data and Science Lab; American Community Survey, five-year estimates",2020 & 2016-2020
SOCIAL AND ECONOMIC FACTORS,,,,
Education,High School Graduation+,Percentage of ninth-grade cohort that graduates in four years.,EDFacts,2021-2022
,Reading Scores*+,Average grade level performance for 3rd graders on English Language Arts standardized tests.,Stanford Education Data Archive,2019
,Math Scores*+,Average grade level performance for 3rd graders on math standardized tests.,Stanford Education Data Archive,2019
,School Segregation,"The extent to which students within different race and ethnicity groups are unevenly distributed across schools when compared with the racial and ethnic composition of the local population. The index ranges from 0 to 1 with lower values representing a school composition that approximates race and ethnicity distributions in the student populations within the county, and higher values representing more segregation.",National Center for Education Statistics,2023-2024
,School Funding Adequacy+,The average gap in dollars between actual and required spending per pupil among public school districts. Required spending is an estimate of dollars needed to achieve U.S. average test scores in each district.,School Finance Indicators Database,2022
"Income, employment and wealth",Children Eligible for Free or Reduced Price Lunch+,Percentage of children enrolled in public schools that are eligible for free or reduced price lunch.,National Center for Education Statistics,2022-2023
,Gender Pay Gap,"Ratio of women's median earnings to men's median earnings for all full-time, year-round workers, presented as ""cents on the dollar.""","American Community Survey, five-year estimates",2019-2023
,Median Household Income*,The income where half of households in a county earn more and half of households earn less.,"Small Area Income and Poverty Estimates; American Community Survey, five-year estimates",2023 & 2019-2023
,Living Wage,The hourly wage needed to cover basic household expenses plus all relevant taxes for a household of one adult and two children.,The Living Wage Institute,2024
Safety and social support,Child Care Centers,"Number of child care centers per 1,000 population under 5 years old.",Homeland Infrastructure Foundation-Level Data (HIFLD),2010-2022
,Residential Segregation - Black/White,Index of dissimilarity where higher values indicate greater residential segregation between Black and White county residents.,"American Community Survey, five-year estimates",2019-2023
,Homicides*,"Number of deaths due to homicide per 100,000 population.",National Center for Health Statistics - Mortality Files; Census Population Estimates Program,2016-2022
,Motor Vehicle Crash Deaths*,"Number of motor vehicle crash deaths per 100,000 population.",National Center for Health Statistics - Mortality Files; Census Population Estimates Program,2016-2022
,Firearm Fatalities*,"Number of deaths due to firearms per 100,000 population.",National Center for Health Statistics - Mortality Files; Census Population Estimates Program,2018-2022
,Disconnected Youth,Percentage of teens and young adults ages 16-19 who are neither working nor in school.,"American Community Survey, five-year estimates",2019-2023
,Lack of Social and Emotional Support+,"Percentage of adults reporting that they sometimes, rarely, or never get the social and emotional support they need.",Behavioral Risk Factor Surveillance System,2022
DEMOGRAPHICS,,,,
All,% Below 18 Years of Age,Percentage of population below 18 years of age.,Census Population Estimates Program,2023
,% 65 and Older,Percentage of population ages 65 and older.,Census Population Estimates Program,2023
,% Female,Percentage of population identifying as female.,Census Population Estimates Program,2023
,% American Indian or Alaska Native,Percentage of population identifying as American Indian or Alaska Native.,Census Population Estimates Program,2023
,% Asian,Percentage of population identifying as Asian.,Census Population Estimates Program,2023
,% Hispanic,Percentage of population identifying as Hispanic.,Census Population Estimates Program,2023
,% Native Hawaiian or Other Pacific Islander,Percentage of population identifying as Native Hawaiian or Other Pacific Islander.,Census Population Estimates Program,2023
,% Non-Hispanic Black,Percentage of population identifying as non-Hispanic Black or African American.,Census Population Estimates Program,2023
,% Non-Hispanic White,Percentage of population identifying as non-Hispanic white.,Census Population Estimates Program,2023
,% Disability: Functional Limitations,Percentage of adults reporting any of six specific functional limitations,Behavioral Risk Factor Surveillance System,2022
,% Not Proficient in English,Percentage of population aged 5 and over who reported speaking English less than well.,"American Community Survey, five-year estimates",2019-2023
,Children in Single-Parent Households,Percentage of children that live in a household headed by a single parent.,"American Community Survey, five-year estimates",2019-2023
,% Rural,Percentage of population living in a census-defined rural area.,Decennial Census Demographic and Housing Characteristics File,2020
,Population,Resident population.,Census Population Estimates Program,2023
,,,,
*Indicates subgroup data by race and ethnicity is available; + Not available in all states.,,,,
